item,e1hit,e1fa,e1h_fa,e2hit,e2fa,e2h_fa,both_hit,both_fa,both_h_fa,d_both,c_both,logzeno,sub_freq,aoa,img_rating,pon,old,pld,Length
poor,0.63,0.26,0.37,0.83,0.27,0.57,0.73,0.26,0.47,1.26,0.01,2.29,4.90,3.56,4.00,5.00,1.60,1.00,4.00
pop,0.63,0.13,0.50,0.77,0.10,0.67,0.70,0.12,0.58,1.71,0.34,1.31,4.60,2.69,6.10,22.00,1.00,1.00,3.00
pope,0.85,0.03,0.82,0.80,0.10,0.70,0.83,0.07,0.76,2.44,0.28,1.16,2.97,4.59,6.40,13.00,1.20,1.00,4.00
porch,0.64,0.22,0.42,0.83,0.27,0.57,0.74,0.24,0.49,1.33,0.03,1.63,4.33,3.50,6.80,3.00,1.70,1.75,5.00
pork,0.86,0.07,0.79,0.77,0.13,0.63,0.81,0.10,0.71,2.16,0.19,0.99,3.87,3.69,6.40,5.00,1.45,1.30,4.00
port,0.70,0.20,0.50,0.87,0.13,0.73,0.79,0.17,0.62,1.76,0.09,1.53,3.03,4.78,4.30,9.00,1.25,1.10,4.00
pose,0.75,0.14,0.61,0.80,0.23,0.57,0.78,0.19,0.59,1.65,0.07,0.75,3.24,4.47,3.60,8.00,1.00,1.00,4.00
posh,0.64,0.07,0.57,0.77,0.17,0.60,0.70,0.12,0.59,1.72,0.32,0.02,2.80,5.97,1.80,8.00,1.55,1.40,4.00
post,0.63,0.27,0.36,0.67,0.10,0.57,0.65,0.18,0.46,1.28,0.26,1.69,4.37,3.84,5.40,4.00,1.25,1.20,4.00
pot,0.75,0.14,0.61,0.73,0.20,0.53,0.74,0.17,0.57,1.61,0.15,1.64,4.67,3.23,6.20,23.00,1.00,1.00,3.00
pouch,0.97,0.32,0.64,0.77,0.23,0.53,0.87,0.28,0.59,1.70,-0.26,0.94,2.87,4.13,5.70,6.00,1.70,1.80,5.00
pound,0.70,0.13,0.57,0.57,0.20,0.37,0.64,0.17,0.47,1.31,0.31,1.43,4.70,3.91,4.10,9.00,1.55,1.40,5.00
pour,0.79,0.31,0.48,0.83,0.17,0.67,0.81,0.24,0.57,1.59,-0.08,1.21,4.40,3.38,4.90,3.00,1.50,1.00,4.00
pout,0.93,0.21,0.72,0.83,0.27,0.57,0.88,0.24,0.64,1.90,-0.23,0.13,3.00,3.34,4.40,17.00,1.40,1.15,4.00
praise,0.75,0.24,0.51,0.70,0.23,0.47,0.73,0.24,0.49,1.31,0.06,1.10,4.27,4.22,4.10,4.00,1.80,1.10,6.00
prank,0.72,0.18,0.55,0.67,0.27,0.40,0.70,0.22,0.47,1.27,0.13,0.26,3.17,4.41,3.90,23.00,1.70,1.60,5.00
pray,0.68,0.28,0.40,0.90,0.27,0.63,0.79,0.27,0.52,1.41,-0.10,1.12,4.97,2.97,5.00,31.00,1.45,1.35,4.00
preach,0.66,0.04,0.62,0.83,0.07,0.77,0.74,0.05,0.69,2.29,0.49,0.62,3.67,4.44,4.60,10.00,1.85,1.75,6.00
press,0.62,0.32,0.30,0.70,0.13,0.57,0.66,0.23,0.43,1.16,0.17,1.71,5.07,3.63,4.80,15.00,1.90,1.70,5.00
prey,0.67,0.17,0.50,0.83,0.20,0.63,0.75,0.18,0.57,1.58,0.11,1.22,3.70,4.31,4.30,9.00,1.80,1.35,4.00
price,0.79,0.14,0.65,0.77,0.37,0.40,0.78,0.25,0.52,1.43,-0.05,2.07,5.80,3.56,3.60,15.00,1.55,1.55,5.00
prick,0.75,0.17,0.58,0.83,0.13,0.70,0.79,0.15,0.64,1.84,0.11,0.33,4.00,4.75,3.90,23.00,1.65,1.50,5.00
pride,0.67,0.33,0.33,0.80,0.33,0.47,0.73,0.33,0.40,1.05,-0.10,1.52,4.20,4.39,2.80,15.00,1.65,1.20,5.00
priest,0.86,0.14,0.72,0.90,0.07,0.83,0.88,0.10,0.78,2.44,0.05,1.40,3.94,4.00,6.30,1.00,1.95,1.75,6.00
prim,0.67,0.22,0.44,0.80,0.23,0.57,0.73,0.23,0.51,1.37,0.06,0.18,2.47,5.84,2.10,15.00,1.50,1.50,4.00
prime,0.76,0.11,0.65,0.70,0.20,0.50,0.73,0.15,0.58,1.63,0.21,1.41,4.13,4.81,3.10,11.00,1.45,1.35,5.00
prince,0.71,0.10,0.61,0.87,0.07,0.80,0.79,0.09,0.71,2.18,0.28,1.78,3.43,3.13,6.40,6.00,1.85,1.75,6.00
print,0.52,0.23,0.29,0.60,0.07,0.53,0.56,0.15,0.41,1.19,0.44,1.59,5.03,4.31,5.30,15.00,1.75,1.70,5.00
prize,0.75,0.31,0.44,0.77,0.13,0.63,0.76,0.22,0.54,1.47,0.03,1.47,4.40,2.94,5.50,2.00,1.75,1.20,5.00
pro,0.70,0.04,0.66,0.67,0.07,0.60,0.68,0.05,0.63,2.10,0.58,0.77,4.73,4.25,3.10,5.00,1.65,1.35,3.00
probe,0.75,0.28,0.47,0.83,0.23,0.60,0.79,0.25,0.54,1.47,-0.08,0.75,3.20,5.66,4.00,4.00,1.70,1.65,5.00
prod,0.73,0.22,0.51,0.80,0.20,0.60,0.77,0.21,0.56,1.53,0.04,0.23,2.50,5.47,3.30,16.00,1.50,1.55,4.00
prom,0.83,0.04,0.79,0.87,0.13,0.73,0.85,0.08,0.76,2.40,0.18,0.35,3.03,5.53,5.80,4.00,1.55,1.70,4.00
prompt,0.66,0.25,0.41,0.67,0.17,0.50,0.66,0.21,0.45,1.23,0.20,0.78,3.93,5.32,2.50,1.00,2.30,1.85,6.00
prone,0.62,0.25,0.37,0.70,0.33,0.37,0.66,0.29,0.37,0.96,0.07,0.57,3.87,5.48,2.20,16.00,1.60,1.35,5.00
proof,0.76,0.29,0.47,0.73,0.33,0.40,0.75,0.31,0.44,1.16,-0.08,1.31,4.50,4.38,3.10,6.00,1.85,1.75,5.00
prop,0.53,0.11,0.42,0.77,0.30,0.47,0.65,0.21,0.44,1.21,0.22,0.46,3.27,4.94,4.20,22.00,1.35,1.45,4.00
prose,0.72,0.14,0.58,0.63,0.07,0.57,0.68,0.10,0.57,1.72,0.40,0.97,2.90,6.03,2.10,8.00,1.65,1.30,5.00
proud,0.59,0.21,0.37,0.67,0.17,0.50,0.63,0.19,0.44,1.20,0.28,1.75,4.60,3.75,2.90,4.00,1.95,1.60,5.00
prove,0.52,0.29,0.23,0.47,0.27,0.20,0.49,0.28,0.22,0.57,0.31,1.64,4.47,4.31,2.40,2.00,1.50,1.65,5.00
prow,0.43,0.28,0.15,0.70,0.23,0.47,0.56,0.25,0.31,0.82,0.25,0.38,1.93,6.00,2.60,11.00,1.40,1.65,4.00
prowl,0.76,0.21,0.54,0.87,0.50,0.37,0.81,0.36,0.46,1.25,-0.26,0.36,2.87,4.81,4.50,9.00,1.90,1.80,5.00
prude,0.69,0.18,0.51,0.93,0.20,0.73,0.81,0.19,0.62,1.76,0.00,0.02,3.31,5.63,2.70,6.00,1.80,1.40,5.00
pry,0.76,0.25,0.51,0.87,0.20,0.67,0.81,0.23,0.59,1.64,-0.07,0.53,3.17,5.31,3.50,17.00,1.45,1.20,3.00
psalm,0.97,0.07,0.89,0.87,0.07,0.80,0.92,0.07,0.85,2.86,0.05,0.11,3.03,4.94,4.30,5.00,2.00,1.20,5.00
pub,0.93,0.21,0.72,0.93,0.17,0.77,0.93,0.19,0.74,2.37,-0.30,0.36,3.59,5.34,5.60,16.00,1.40,1.30,3.00
puck,0.93,0.10,0.83,0.93,0.17,0.77,0.93,0.14,0.80,2.59,-0.19,0.43,3.50,4.44,4.80,17.00,1.35,1.00,4.00
puff,0.61,0.38,0.23,0.90,0.33,0.57,0.75,0.36,0.40,1.05,-0.16,0.90,3.73,3.97,4.30,15.00,1.70,1.20,4.00
pull,0.68,0.24,0.44,0.57,0.23,0.33,0.62,0.24,0.39,1.03,0.20,1.93,5.67,2.94,4.10,2.00,1.30,1.00,4.00
pulp,0.76,0.29,0.47,0.93,0.20,0.73,0.85,0.24,0.60,1.72,-0.16,0.98,3.03,4.28,4.60,2.00,1.75,1.75,4.00
pulse,0.81,0.27,0.55,0.80,0.27,0.53,0.81,0.27,0.54,1.49,-0.12,1.14,4.17,4.47,4.70,1.00,1.90,1.75,5.00
pump,0.64,0.24,0.40,0.83,0.33,0.50,0.74,0.29,0.45,1.20,-0.04,1.53,4.03,3.78,4.80,17.00,1.35,1.35,4.00
pun,0.60,0.11,0.49,0.73,0.03,0.70,0.67,0.07,0.59,1.89,0.51,0.07,3.37,5.66,2.60,12.00,1.05,1.00,3.00
punch,0.83,0.22,0.61,0.80,0.27,0.53,0.82,0.24,0.57,1.59,-0.11,1.13,3.97,3.44,5.00,8.00,1.65,1.50,5.00
punk,0.78,0.17,0.61,0.77,0.17,0.60,0.77,0.17,0.61,1.71,0.11,0.33,3.80,5.00,4.30,19.00,1.30,1.45,4.00
punt,0.69,0.14,0.55,0.83,0.27,0.57,0.76,0.20,0.56,1.54,0.06,0.30,3.67,4.69,3.90,9.00,1.45,1.50,4.00
pup,0.79,0.10,0.68,0.90,0.20,0.70,0.84,0.15,0.69,2.04,0.01,0.92,3.07,3.06,6.00,2.00,1.25,1.00,3.00
pure,0.69,0.18,0.51,0.57,0.23,0.33,0.63,0.21,0.42,1.15,0.25,1.72,4.50,4.03,3.70,4.00,1.40,1.75,4.00
purge,0.82,0.38,0.44,0.83,0.33,0.50,0.83,0.36,0.47,1.31,-0.29,0.20,3.17,5.84,3.60,4.00,1.65,1.65,5.00
purr,0.76,0.14,0.62,0.77,0.10,0.67,0.76,0.12,0.64,1.88,0.23,0.58,3.50,2.48,4.60,2.00,1.90,1.35,4.00
purse,0.82,0.24,0.58,0.80,0.27,0.53,0.81,0.25,0.56,1.54,-0.11,1.13,4.43,3.38,6.50,3.00,1.50,1.35,5.00
pus,0.93,0.07,0.86,0.83,0.03,0.80,0.88,0.05,0.83,2.81,0.23,0.39,2.60,4.91,3.80,6.00,1.30,1.00,3.00
push,0.71,0.24,0.47,0.67,0.27,0.40,0.69,0.25,0.44,1.16,0.08,1.85,5.33,2.68,4.10,3.00,1.35,1.45,4.00
put,0.36,0.14,0.22,0.53,0.23,0.30,0.45,0.19,0.26,0.76,0.52,2.81,6.03,2.91,2.20,1.00,1.05,1.05,3.00
putt,0.76,0.14,0.62,0.73,0.07,0.67,0.75,0.10,0.64,1.92,0.30,0.50,3.33,4.25,4.00,3.00,1.70,1.00,4.00
pyre,0.86,0.17,0.68,0.77,0.10,0.67,0.81,0.14,0.68,1.98,0.11,0.21,2.00,6.78,2.40,1.00,1.75,1.00,4.00
quack,0.81,0.20,0.61,0.83,0.13,0.70,0.82,0.17,0.66,1.90,0.02,0.68,3.17,3.06,4.30,24.00,1.85,1.55,5.00
quaint,0.70,0.20,0.50,0.77,0.13,0.63,0.74,0.17,0.57,1.60,0.17,0.50,3.23,5.91,2.40,6.00,2.30,1.90,6.00
quake,0.79,0.18,0.61,0.90,0.17,0.73,0.85,0.17,0.67,1.97,-0.04,0.44,3.33,4.84,4.90,21.00,1.95,1.70,5.00
quart,0.62,0.18,0.44,0.70,0.03,0.67,0.66,0.11,0.55,1.66,0.42,0.68,3.83,4.69,5.00,4.00,1.85,1.70,5.00
quartz,0.80,0.07,0.73,0.93,0.17,0.77,0.87,0.12,0.75,2.28,0.03,0.99,2.83,5.38,5.00,1.00,2.60,1.80,6.00
queen,0.79,0.04,0.76,0.77,0.10,0.67,0.78,0.07,0.71,2.26,0.36,1.80,3.62,3.58,6.60,9.00,2.00,1.80,5.00
queer,0.93,0.19,0.75,0.93,0.00,0.93,0.93,0.09,0.84,2.83,-0.09,1.10,3.20,5.69,4.00,12.00,1.95,1.55,5.00
quench,0.76,0.25,0.51,0.80,0.23,0.57,0.78,0.24,0.54,1.47,-0.03,0.36,3.47,5.28,3.30,10.00,2.30,1.95,6.00
quest,0.64,0.24,0.40,0.63,0.03,0.60,0.64,0.14,0.50,1.45,0.37,0.88,3.40,4.72,4.00,16.00,1.95,1.90,5.00
quick,0.41,0.14,0.27,0.63,0.17,0.47,0.52,0.15,0.37,1.08,0.48,1.85,5.80,3.16,2.90,23.00,1.85,1.40,5.00
quill,0.75,0.28,0.47,0.87,0.33,0.53,0.81,0.30,0.50,1.38,-0.18,0.51,2.50,5.50,4.90,28.00,1.90,1.35,5.00
quirk,0.83,0.21,0.61,0.80,0.20,0.60,0.81,0.21,0.61,1.71,-0.04,0.15,2.87,5.47,2.60,6.00,1.85,1.80,5.00
quit,0.71,0.28,0.44,0.67,0.20,0.47,0.69,0.24,0.45,1.21,0.11,1.32,4.93,3.31,2.90,26.00,1.60,1.25,4.00
quite,0.62,0.36,0.26,0.60,0.17,0.43,0.61,0.26,0.35,0.92,0.18,2.36,5.30,4.13,2.50,13.00,1.80,1.70,5.00
quiz,0.80,0.07,0.73,0.67,0.07,0.60,0.73,0.07,0.66,2.10,0.43,0.41,5.53,3.88,4.80,3.00,1.90,1.70,4.00
quote,0.78,0.13,0.64,0.50,0.13,0.37,0.64,0.13,0.51,1.47,0.38,0.55,4.53,4.71,3.90,9.00,1.80,1.85,5.00
race,0.48,0.14,0.34,0.80,0.23,0.57,0.64,0.19,0.45,1.25,0.26,1.97,4.77,2.91,5.10,12.00,1.00,1.00,4.00
rack,0.67,0.22,0.44,0.83,0.37,0.47,0.75,0.29,0.46,1.21,-0.07,0.97,4.30,4.03,5.30,24.00,1.10,1.00,4.00
raft,0.52,0.20,0.32,0.73,0.27,0.47,0.63,0.23,0.39,1.05,0.20,1.26,3.20,3.72,6.00,11.00,1.40,1.00,4.00
rag,0.83,0.26,0.57,0.73,0.30,0.43,0.78,0.28,0.50,1.37,-0.10,0.85,4.31,3.28,6.30,22.00,1.00,1.00,3.00
rage,0.72,0.36,0.37,0.87,0.07,0.80,0.80,0.21,0.58,1.63,-0.01,1.16,3.47,4.68,3.60,8.00,1.10,1.35,4.00
raid,0.53,0.15,0.39,0.70,0.20,0.50,0.62,0.17,0.44,1.23,0.32,0.77,3.27,5.16,3.40,7.00,1.35,1.00,4.00
rail,0.75,0.17,0.58,0.80,0.37,0.43,0.78,0.27,0.51,1.37,-0.07,1.23,3.90,3.56,5.60,19.00,1.10,1.00,4.00
rain,0.59,0.11,0.48,0.70,0.13,0.57,0.64,0.12,0.52,1.54,0.40,2.26,5.47,2.59,6.30,21.00,1.10,1.00,4.00
raise,0.64,0.21,0.44,0.87,0.37,0.50,0.75,0.29,0.47,1.25,-0.06,1.81,4.67,3.38,4.00,4.00,1.70,1.00,5.00
rake,0.57,0.21,0.36,0.80,0.23,0.57,0.69,0.22,0.47,1.26,0.14,0.71,3.00,3.48,6.20,21.00,1.05,1.00,4.00
ram,0.66,0.21,0.44,0.80,0.17,0.63,0.73,0.19,0.54,1.48,0.14,0.83,3.43,4.22,5.30,20.00,1.00,1.00,3.00
ramp,0.79,0.32,0.47,0.80,0.23,0.57,0.80,0.28,0.52,1.42,-0.12,0.78,3.87,4.25,5.50,13.00,1.30,1.15,4.00
ran,0.41,0.20,0.21,0.77,0.17,0.60,0.59,0.18,0.40,1.12,0.34,2.45,6.27,3.03,4.30,20.00,1.00,1.00,3.00
ranch,0.76,0.07,0.69,0.80,0.17,0.63,0.78,0.12,0.66,1.95,0.20,1.40,2.93,4.13,5.80,3.00,1.90,1.80,5.00
rang,0.57,0.10,0.47,0.63,0.10,0.53,0.60,0.10,0.50,1.53,0.51,1.51,4.30,3.84,3.40,16.00,1.25,1.00,4.00
range,0.64,0.07,0.57,0.73,0.33,0.40,0.69,0.20,0.49,1.33,0.17,1.93,4.10,4.44,3.50,5.00,1.65,1.70,5.00
rank,0.74,0.27,0.47,0.83,0.27,0.57,0.79,0.27,0.52,1.42,-0.09,1.18,4.47,4.38,3.40,23.00,1.10,1.00,4.00
rant,0.62,0.18,0.44,0.80,0.23,0.57,0.71,0.21,0.50,1.37,0.13,0.09,3.50,5.38,2.60,11.00,1.30,1.00,4.00
rap,0.76,0.14,0.62,0.83,0.20,0.63,0.80,0.17,0.62,1.78,0.06,0.37,4.00,4.69,4.30,23.00,1.00,1.00,3.00
rape,1.00,0.04,0.96,0.93,0.10,0.83,0.97,0.07,0.90,3.33,-0.17,0.58,3.93,5.72,4.80,12.00,1.00,1.00,4.00
rapt,0.66,0.07,0.58,0.83,0.13,0.70,0.74,0.10,0.64,1.92,0.31,0.20,1.77,6.59,2.40,2.00,1.70,1.00,4.00
rare,0.72,0.14,0.58,0.63,0.23,0.40,0.68,0.19,0.49,1.35,0.21,1.43,4.67,4.19,2.50,20.00,1.10,1.00,4.00
rash,0.79,0.03,0.75,0.80,0.17,0.63,0.79,0.10,0.69,2.09,0.23,0.75,3.10,3.66,5.50,22.00,1.25,1.00,4.00
rasp,0.59,0.29,0.30,0.87,0.10,0.77,0.73,0.19,0.53,1.47,0.13,0.17,2.20,5.68,2.80,6.00,1.60,1.55,4.00
rat,0.57,0.07,0.50,0.80,0.17,0.63,0.69,0.12,0.57,1.67,0.35,1.41,4.23,2.84,6.80,24.00,1.00,1.00,3.00
rate,0.46,0.17,0.29,0.50,0.17,0.33,0.48,0.17,0.31,0.91,0.50,2.10,4.60,4.16,2.60,19.00,1.00,1.00,4.00
rave,0.78,0.33,0.44,0.87,0.30,0.57,0.82,0.32,0.51,1.40,-0.22,0.13,3.13,5.41,3.90,17.00,1.00,1.00,4.00
raw,0.68,0.28,0.40,0.80,0.30,0.50,0.74,0.29,0.45,1.20,-0.04,1.66,3.80,3.84,4.30,19.00,1.30,1.15,3.00
ray,0.71,0.24,0.47,0.73,0.07,0.67,0.72,0.15,0.57,1.61,0.21,1.38,3.50,3.91,4.30,31.00,1.00,1.00,3.00
reach,0.56,0.10,0.46,0.67,0.17,0.50,0.61,0.13,0.48,1.39,0.41,2.11,4.87,3.22,4.30,10.00,1.45,1.25,5.00
realm,0.86,0.10,0.75,0.87,0.17,0.70,0.86,0.14,0.73,2.19,0.01,0.93,3.00,5.78,2.70,1.00,1.80,1.85,5.00
ream,0.73,0.33,0.40,0.83,0.30,0.53,0.78,0.32,0.47,1.26,-0.15,0.24,2.83,6.03,2.20,11.00,1.30,1.00,4.00
reap,0.70,0.26,0.44,0.77,0.23,0.53,0.73,0.25,0.49,1.31,0.03,0.46,2.97,5.78,3.00,5.00,1.55,1.00,4.00
rear,0.66,0.14,0.51,0.93,0.13,0.80,0.79,0.14,0.66,1.91,0.13,1.50,4.63,3.81,4.50,16.00,1.10,1.00,4.00
red,0.79,0.00,0.79,0.80,0.07,0.73,0.80,0.03,0.76,2.66,0.50,2.49,5.27,1.97,6.00,16.00,1.10,1.00,3.00
reed,0.83,0.07,0.76,0.70,0.23,0.47,0.76,0.15,0.61,1.74,0.15,0.95,2.77,5.09,3.90,18.00,1.10,1.00,4.00
reef,0.70,0.17,0.54,0.73,0.17,0.57,0.72,0.17,0.55,1.55,0.19,0.85,2.50,4.41,4.30,2.00,1.70,1.00,4.00
reek,0.71,0.10,0.61,0.70,0.17,0.53,0.71,0.14,0.57,1.65,0.28,0.15,3.77,5.41,3.00,10.00,1.50,1.00,4.00
reel,0.68,0.41,0.26,0.87,0.33,0.53,0.77,0.37,0.40,1.07,-0.21,0.54,2.57,4.88,5.00,10.00,1.35,1.00,4.00
reign,0.69,0.14,0.55,0.73,0.23,0.50,0.71,0.19,0.52,1.44,0.16,1.03,3.03,5.44,2.80,3.00,1.80,1.00,5.00
rein,0.71,0.17,0.54,0.83,0.33,0.50,0.77,0.25,0.52,1.42,-0.04,0.50,2.70,4.84,3.70,3.00,1.70,1.00,4.00
rend,0.46,0.03,0.43,0.60,0.03,0.57,0.53,0.03,0.50,1.91,0.87,0.15,2.10,6.16,1.60,13.00,1.20,1.05,4.00
rent,0.67,0.07,0.59,0.73,0.30,0.43,0.70,0.19,0.51,1.41,0.18,1.36,4.40,4.61,4.00,15.00,1.20,1.00,4.00
rest,0.59,0.11,0.48,0.67,0.43,0.23,0.63,0.27,0.36,0.93,0.14,2.35,5.57,3.38,3.80,16.00,1.25,1.00,4.00
rev,0.90,0.14,0.75,0.93,0.00,0.93,0.91,0.07,0.84,2.84,0.05,0.09,2.57,5.50,1.90,1.00,1.80,1.55,3.00
rhyme,0.89,0.14,0.75,0.90,0.10,0.80,0.90,0.12,0.78,2.44,-0.04,0.86,4.07,3.88,3.70,2.00,2.25,1.00,5.00
rib,0.73,0.19,0.55,0.87,0.13,0.73,0.80,0.16,0.64,1.84,0.08,0.58,3.47,3.84,6.50,11.00,1.35,1.05,3.00
rice,0.69,0.11,0.58,0.67,0.13,0.53,0.68,0.12,0.56,1.64,0.36,1.64,5.00,3.00,6.80,15.00,1.15,1.00,4.00
rich,0.57,0.17,0.40,0.67,0.17,0.50,0.62,0.17,0.45,1.26,0.33,2.13,5.27,3.47,4.30,2.00,1.85,1.25,4.00
ride,0.54,0.17,0.36,0.67,0.20,0.47,0.60,0.19,0.41,1.15,0.32,2.00,5.50,3.06,4.60,15.00,1.00,1.00,4.00
ridge,0.69,0.29,0.40,0.77,0.17,0.60,0.73,0.23,0.50,1.36,0.07,1.36,3.37,4.66,4.90,4.00,1.75,1.70,5.00
rift,0.54,0.28,0.26,0.83,0.23,0.60,0.68,0.25,0.43,1.14,0.09,0.49,2.53,5.63,3.30,9.00,1.60,1.30,4.00
rig,0.66,0.21,0.44,0.73,0.27,0.47,0.69,0.24,0.45,1.21,0.10,0.66,2.87,4.94,4.00,15.00,1.10,1.00,3.00
right,0.48,0.25,0.23,0.53,0.20,0.33,0.51,0.23,0.28,0.78,0.37,2.90,6.30,2.81,3.60,18.00,1.45,1.00,5.00
rile,0.54,0.17,0.36,0.70,0.20,0.50,0.62,0.19,0.43,1.19,0.30,0.05,2.20,6.03,1.70,13.00,1.10,1.00,4.00
rim,0.73,0.26,0.47,0.77,0.30,0.47,0.75,0.28,0.47,1.26,-0.05,1.13,3.93,4.31,4.70,15.00,1.10,1.00,3.00
rind,0.68,0.07,0.61,0.60,0.13,0.47,0.64,0.10,0.54,1.63,0.46,0.23,2.27,5.56,3.40,9.00,1.40,1.15,4.00
ring,0.78,0.13,0.64,0.70,0.23,0.47,0.74,0.18,0.56,1.54,0.13,1.83,4.70,2.90,6.20,20.00,1.30,1.00,4.00
rink,0.73,0.11,0.62,0.83,0.17,0.67,0.78,0.14,0.64,1.87,0.15,0.73,3.47,4.63,4.20,19.00,1.20,1.00,4.00
rinse,0.55,0.11,0.44,0.57,0.10,0.47,0.56,0.10,0.46,1.41,0.56,0.66,4.90,3.56,4.00,1.00,1.95,1.60,5.00
rip,0.67,0.22,0.44,0.60,0.27,0.33,0.63,0.24,0.39,1.03,0.18,1.03,4.03,3.35,4.70,26.00,1.00,1.00,3.00
ripe,0.77,0.33,0.43,0.73,0.23,0.50,0.75,0.28,0.47,1.25,-0.05,1.05,4.37,4.19,4.70,8.00,1.25,1.00,4.00
rise,0.57,0.17,0.40,0.57,0.27,0.30,0.57,0.22,0.35,0.95,0.30,1.92,4.37,3.75,3.30,3.00,1.10,1.00,4.00
risk,0.57,0.31,0.26,0.80,0.30,0.50,0.69,0.31,0.38,0.99,0.01,1.55,4.60,3.84,2.40,5.00,1.55,1.35,4.00
rite,0.78,0.13,0.64,0.77,0.10,0.67,0.77,0.12,0.66,1.94,0.22,0.47,3.27,5.69,2.10,13.00,1.10,1.00,4.00
roach,0.86,0.18,0.68,0.97,0.20,0.77,0.91,0.19,0.73,2.25,-0.24,0.32,3.23,3.78,6.60,4.00,1.80,1.50,5.00
road,0.66,0.07,0.58,0.60,0.13,0.47,0.63,0.10,0.53,1.59,0.47,2.29,6.10,2.84,6.60,5.00,1.55,1.00,4.00
roam,0.57,0.26,0.31,0.87,0.37,0.50,0.72,0.31,0.40,1.06,-0.04,0.72,3.67,4.72,3.90,3.00,1.65,1.00,4.00
roar,0.79,0.14,0.65,0.77,0.27,0.50,0.78,0.20,0.58,1.60,0.03,1.35,3.07,3.06,4.10,5.00,1.60,1.00,4.00
roast,0.83,0.18,0.65,0.93,0.23,0.70,0.88,0.21,0.67,2.00,-0.18,0.95,3.67,4.13,5.70,5.00,1.75,1.10,5.00
rob,0.78,0.17,0.61,0.90,0.23,0.67,0.84,0.20,0.64,1.83,-0.07,1.20,4.07,3.47,4.20,18.00,1.15,1.05,3.00
robe,0.79,0.14,0.65,0.80,0.13,0.67,0.80,0.14,0.66,1.92,0.13,1.04,4.13,3.69,5.90,4.00,1.30,1.00,4.00
rock,0.59,0.07,0.53,0.73,0.03,0.70,0.66,0.05,0.61,2.07,0.61,2.31,5.20,2.72,6.40,20.00,1.20,1.00,4.00
rod,0.69,0.18,0.51,0.77,0.27,0.50,0.73,0.22,0.51,1.37,0.08,1.53,2.97,4.00,5.90,16.00,1.10,1.00,3.00
rode,0.62,0.32,0.30,0.60,0.13,0.47,0.61,0.23,0.38,1.03,0.23,1.77,4.44,3.72,3.70,9.00,1.00,1.00,4.00
roe,0.69,0.11,0.58,0.77,0.13,0.63,0.73,0.12,0.61,1.78,0.28,0.28,2.07,5.59,2.00,10.00,1.00,1.00,3.00
role,0.36,0.17,0.18,0.77,0.33,0.43,0.56,0.25,0.31,0.82,0.25,1.86,4.47,4.22,3.40,14.00,1.10,1.00,4.00
roll,0.46,0.21,0.26,0.60,0.10,0.50,0.53,0.15,0.38,1.10,0.47,1.59,4.33,3.09,4.50,9.00,1.55,1.00,4.00
romp,0.75,0.07,0.68,0.83,0.13,0.70,0.79,0.10,0.69,2.09,0.23,0.32,2.60,5.32,3.30,4.00,1.80,1.80,4.00
roof,0.70,0.15,0.55,0.77,0.20,0.57,0.73,0.17,0.56,1.56,0.16,1.87,3.70,3.25,6.40,6.00,1.55,1.05,4.00
rook,0.67,0.03,0.63,0.57,0.10,0.47,0.62,0.07,0.55,1.80,0.60,0.07,2.03,6.09,4.00,9.00,1.40,1.10,4.00
room,0.46,0.17,0.29,0.63,0.13,0.50,0.55,0.15,0.40,1.15,0.45,2.66,6.13,2.58,5.60,9.00,1.40,1.00,4.00
roost,0.66,0.29,0.37,0.73,0.07,0.67,0.69,0.18,0.52,1.44,0.21,0.48,2.33,5.00,4.40,2.00,1.85,1.40,5.00
root,0.62,0.14,0.48,0.77,0.30,0.47,0.69,0.22,0.47,1.27,0.13,1.54,3.77,3.66,6.00,6.00,1.20,1.00,4.00
rope,0.59,0.25,0.34,0.80,0.27,0.53,0.69,0.26,0.43,1.15,0.07,1.81,3.70,3.19,6.60,13.00,1.00,1.00,4.00
rose,0.68,0.03,0.64,0.83,0.20,0.63,0.76,0.12,0.64,1.88,0.25,2.06,4.03,3.00,6.70,8.00,1.00,1.00,4.00
rot,0.66,0.14,0.51,0.83,0.17,0.67,0.74,0.15,0.59,1.67,0.18,0.82,3.67,4.25,3.60,23.00,1.00,1.00,3.00
rouge,0.78,0.20,0.58,0.83,0.23,0.60,0.81,0.22,0.59,1.65,-0.04,0.37,2.67,5.78,3.90,1.00,1.80,1.45,5.00
rough,0.72,0.36,0.37,0.77,0.43,0.33,0.75,0.40,0.35,0.93,-0.20,1.74,4.43,3.75,3.20,3.00,1.70,1.00,5.00
round,0.53,0.22,0.31,0.53,0.20,0.33,0.53,0.21,0.32,0.89,0.36,2.18,4.43,3.00,5.40,9.00,1.45,1.10,5.00
rout,0.62,0.21,0.41,0.83,0.20,0.63,0.73,0.21,0.52,1.42,0.11,0.26,2.43,5.74,2.20,17.00,1.50,1.00,4.00
rove,0.59,0.07,0.51,0.60,0.13,0.47,0.59,0.10,0.49,1.50,0.52,0.05,1.70,6.00,2.50,14.00,1.00,1.00,4.00
rub,0.59,0.39,0.19,0.73,0.20,0.53,0.66,0.30,0.36,0.95,0.06,1.23,3.87,2.97,4.40,16.00,1.20,1.00,3.00
